date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:45:06	60730/60730	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed3a-5ca2bf9799046%22	https://canlis.com/uploads/OGJTypeDesignSequel100Wide85.eot	./canlis-website/canlis.com/uploads/OGJTypeDesignSequel100Wide85.eot	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:07	21196/21196	---M--	200	added ('OK')	font/woff2	etag:%2252cc-5ca2bf7d33400%22	https://canlis.com/uploads/OGJTypeDesignSequel100Wide85.woff2	./canlis-website/canlis.com/uploads/OGJTypeDesignSequel100Wide85.woff2	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:07	29256/29256	---M--	200	added ('OK')	font/woff	etag:%227248-5ca2bf7ae0870%22	https://canlis.com/uploads/OGJTypeDesignSequel100Wide85.woff	./canlis-website/canlis.com/uploads/OGJTypeDesignSequel100Wide85.woff	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:08	60404/60404	---M--	200	added ('OK')	font/ttf	etag:%22ebf4-5ca2bf81a4f00%22	https://canlis.com/uploads/OGJTypeDesignSequel100Wide85.ttf	./canlis-website/canlis.com/uploads/OGJTypeDesignSequel100Wide85.ttf	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:09	10225240/10225240	---M--	200	added ('OK')	video/mp4	etag:%229c0658-657b82c469f25%22	https://canlis.com/uploads/hally.mp4	./canlis-website/canlis.com/uploads/hally.mp4	(from https://canlis.com/)
09:45:11	20604/20604	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22507c-5ca2bf8e07d09%22	https://canlis.com/uploads/futuramaxicgbold.eot	./canlis-website/canlis.com/uploads/futuramaxicgbold.eot	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:11	9564/9564	---M--	200	added ('OK')	font/woff2	etag:%22255c-5ca2bf9240dcb%22	https://canlis.com/uploads/futuramaxicgbold.woff2	./canlis-website/canlis.com/uploads/futuramaxicgbold.woff2	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:11	250879/250879	---M--	200	added ('OK')	image/svg+xml	etag:%223d3ff-5ca2bf991ac1b%22	https://canlis.com/uploads/OGJTypeDesignSequel100Wide85.svg	./canlis-website/canlis.com/uploads/OGJTypeDesignSequel100Wide85.svg	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:12	13352/13352	---M--	200	added ('OK')	font/woff	etag:%223428-5ca2bf8088c28%22	https://canlis.com/uploads/futuramaxicgbold.woff	./canlis-website/canlis.com/uploads/futuramaxicgbold.woff	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:13	20348/20348	---M--	200	added ('OK')	font/ttf	etag:%224f7c-5ca2bf9c9a422%22	https://canlis.com/uploads/futuramaxicgbold.ttf	./canlis-website/canlis.com/uploads/futuramaxicgbold.ttf	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:15	57464/57464	---M--	200	added ('OK')	image/svg+xml	etag:%22e078-5ca2bf94929bb%22	https://canlis.com/uploads/futuramaxicgbold.svg	./canlis-website/canlis.com/uploads/futuramaxicgbold.svg	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:16	48652/48652	---M--	200	added ('OK')	font/woff2	etag:%22be0c-5ca2bf83122b6%22	https://canlis.com/uploads/PinewoodgmE1.woff2	./canlis-website/canlis.com/uploads/PinewoodgmE1.woff2	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:17	238290/238290	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223a2d2-5ca2bf770efeb%22	https://canlis.com/uploads/PinewoodgmE1.eot	./canlis-website/canlis.com/uploads/PinewoodgmE1.eot	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:18	104116/104116	---M--	200	added ('OK')	font/woff	etag:%22196b4-5ca2bf98799ff%22	https://canlis.com/uploads/PinewoodgmE1.woff	./canlis-website/canlis.com/uploads/PinewoodgmE1.woff	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:19	238128/238128	---M--	200	added ('OK')	font/ttf	etag:%223a230-5ca2bfa04a968%22	https://canlis.com/uploads/PinewoodgmE1.ttf	./canlis-website/canlis.com/uploads/PinewoodgmE1.ttf	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:20	43586/43586	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22aa42-5ca2bf906b238%22	https://canlis.com/uploads/HoboStd.eot	./canlis-website/canlis.com/uploads/HoboStd.eot	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:21	17216/17216	---M--	200	added ('OK')	font/woff2	etag:%224340-5ca2bf8a7d922%22	https://canlis.com/uploads/HoboStd.woff2	./canlis-website/canlis.com/uploads/HoboStd.woff2	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:22	21792/21792	---M--	200	added ('OK')	font/woff	etag:%225520-5ca2bf829819a%22	https://canlis.com/uploads/HoboStd.woff	./canlis-website/canlis.com/uploads/HoboStd.woff	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:23	43340/43340	---M--	200	added ('OK')	font/ttf	etag:%22a94c-5ca2bf7a7af73%22	https://canlis.com/uploads/HoboStd.ttf	./canlis-website/canlis.com/uploads/HoboStd.ttf	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:24	554734/554734	---M--	200	added ('OK')	image/svg+xml	etag:%22876ee-5ca2bf9b0114e%22	https://canlis.com/uploads/PinewoodgmE1.svg	./canlis-website/canlis.com/uploads/PinewoodgmE1.svg	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:25	126809/126809	---M--	200	added ('OK')	image/svg+xml	etag:%221ef59-5ca2bf8d4f3ee%22	https://canlis.com/uploads/HoboStd.svg	./canlis-website/canlis.com/uploads/HoboStd.svg	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:26	35140/35140	---M--	200	added ('OK')	font/woff2	etag:%228944-5ca2bf850ef48%22	https://canlis.com/uploads/HelveticaNeueMedium_22555.woff2	./canlis-website/canlis.com/uploads/HelveticaNeueMedium_22555.woff2	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:27	107178/107178	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221a2aa-5ca2bf96cceab%22	https://canlis.com/uploads/HelveticaNeueMedium_22555.eot	./canlis-website/canlis.com/uploads/HelveticaNeueMedium_22555.eot	(from https://canlis.com/uploads/master.css?version=08082026175639)
